0,951,0
294,950,948
447,950,951
447,950,951
447,950,951
447,950,951
447,950,951
445,950,951
444,950,951
444,950,951
444,950,951
443,950,951
443,950,951
442,950,951
437,950,951
436,950,951
432,950,951
426,950,950
417,950,950
409,950,950
405,950,950
397,950,950
394,950,950
390,950,950
385,950,950
381,950,950
377,950,950
371,950,949
369,950,949
365,950,949
360,950,949
355,950,949
349,950,949
344,950,949
339,950,949
335,950,949
330,950,949
326,950,949
321,950,949
316,950,948
264,949,947
214,949,947
209,948,946
137,947,945
131,947,945
184,947,946
195,947,946
205,947,946
212,947,947
224,947,947
236,947,947
249,947,947
258,947,947
266,947,948
274,946,948
282,947,948
292,947,948
301,947,948
308,947,948
314,947,948
322,946,949
337,947,949
355,947,949
397,948,950
598,952,954
823,956,958
449,953,951
384,952,950
384,951,950
384,952,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,951,950
384,952,950
384,951,950
384,951,950
384,951,950
385,951,950
385,951,950
390,951,950
394,951,950
400,952,950
408,952,950
415,952,950
426,951,950
435,952,951
449,951,951
459,951,951
476,952,951
485,952,952
500,952,952
515,951,952
531,952,952
553,952,953
573,951,953
596,951,954
674,953,955
921,957,960
898,958,959
898,958,959
898,957,959
898,957,959
898,957,959
898,958,959
899,957,959
898,957,959
898,958,959
898,957,959
898,957,959
896,957,959
870,957,959
831,957,958
788,957,957
727,957,956
653,957,955
336,951,949
102,947,945
102,947,945
102,947,945
145,947,945
199,947,946
258,947,947
304,947,948
332,947,949
472,949,951
679,953,955
921,958,960
102,948,945
139,947,945
612,952,954
921,957,960
299,950,948
812,956,958
921,958,960
102,947,945
102,947,945
102,947,945
102,947,945
102,947,945
102,947,945
102,947,945
102,947,945
102,947,945
102,947,945
102,946,945
102,947,945
102,946,945
102,946,945
102,947,945
102,947,945
102,947,945
102,946,945
102,947,945
102,947,945
102,947,945
102,947,945
102,946,945
102,946,945
102,947,945
102,947,945
